,ministry,slotId,startDtTm,endDtTm,blockDate
877,TNNAS,3810056-113074418,2023-03-21 12:30:00+00:00,2023-03-21 17:00:00+00:00,2023-03-21
878,TNNAS,3810016-113067649,2023-03-13 12:30:00+00:00,2023-03-13 17:00:00+00:00,2023-03-13
879,TNNAS,3810035-113070096,2023-03-27 13:00:00+00:00,2023-03-27 17:00:00+00:00,2023-03-27
880,TNNAS,3810165-113102993,2023-03-28 13:00:00+00:00,2023-03-28 17:00:00+00:00,2023-03-28
881,TNNAS,3810056-113074418,2023-03-28 12:30:00+00:00,2023-03-28 17:00:00+00:00,2023-03-28
882,TNNAS,3810035-113070096,2023-03-20 13:00:00+00:00,2023-03-20 17:00:00+00:00,2023-03-20
883,TNNAS,4046208-194326321,2023-03-15 12:30:00+00:00,2023-03-15 17:00:00+00:00,2023-03-15
884,TNNAS,4046191-194324321,2023-03-22 12:30:00+00:00,2023-03-22 17:00:00+00:00,2023-03-22
885,TNNAS,4046201-194325706,2023-03-15 13:00:00+00:00,2023-03-15 17:00:00+00:00,2023-03-15
886,TNNAS,4109477-212800450,2023-03-08 13:00:00+00:00,2023-03-08 17:00:00+00:00,2023-03-08
887,TNNAS,3810016-113067649,2023-03-20 12:30:00+00:00,2023-03-20 17:00:00+00:00,2023-03-20
888,TNNAS,3810056-113074418,2023-03-07 12:30:00+00:00,2023-03-07 17:00:00+00:00,2023-03-07
889,TNNAS,3810056-113074418,2023-03-14 12:30:00+00:00,2023-03-14 17:00:00+00:00,2023-03-14
890,TNNAS,3810165-113102993,2023-03-14 13:00:00+00:00,2023-03-14 17:00:00+00:00,2023-03-14
891,TNNAS,3810035-113070096,2023-03-13 13:00:00+00:00,2023-03-13 17:00:00+00:00,2023-03-13
892,TNNAS,4109477-212800450,2023-03-22 13:00:00+00:00,2023-03-22 17:00:00+00:00,2023-03-22
893,TNNAS,4249604-260195553,2023-03-13 07:30:00+00:00,2023-03-13 12:00:00+00:00,2023-03-13
894,TNNAS,3810016-113067649,2023-03-27 12:30:00+00:00,2023-03-27 17:00:00+00:00,2023-03-27
895,TNNAS,3810165-113102993,2023-03-07 13:00:00+00:00,2023-03-07 17:00:00+00:00,2023-03-07
896,TNNAS,4046191-194324321,2023-03-08 12:30:00+00:00,2023-03-08 17:00:00+00:00,2023-03-08
897,TNNAS,4012138-183167217,2023-02-07 07:30:00+00:00,2023-02-07 15:30:00+00:00,2023-02-07
898,TNNAS,4249568-260148896,2023-03-13 07:30:00+00:00,2023-03-13 15:00:00+00:00,2023-03-13
899,TNNAS,4203992-243499578,2023-02-15 07:30:00+00:00,2023-02-15 15:00:00+00:00,2023-02-15
900,TNNAS,4012138-183167217,2023-03-14 07:30:00+00:00,2023-03-14 15:30:00+00:00,2023-03-14
901,TNNAS,4249612-260197093,2023-02-22 08:00:00+00:00,2023-02-22 13:00:00+00:00,2023-02-22
902,TNNAS,4249612-260197092,2023-02-22 13:00:00+00:00,2023-02-22 15:30:00+00:00,2023-02-22
